input,output
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96, 0.52]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96, 0.52, 0.62]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96, 0.52, 0.62, 0.83]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96, 0.52, 0.62, 0.83, 0.83]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48, -0.14, 0.19, -0.48, -0.05, -1.05, 0.52, -1.92, 0.64, -0.99, 0.96, 0.52, 0.62, 0.83, 0.83, 1.89]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[1.32],True
"[1.32, 2.48]","[True, True]"
"[1.32, 2.48, 1.77]","[True, True, True]"
"[1.32, 2.48, 1.77, -0.87]","[True, True, True, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82]","[True, True, True, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77]","[True, True, True, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48]","[True, True, True, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68]","[True, True, True, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28]","[True, True, True, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75]","[True, True, True, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79]","[True, True, True, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59]","[True, True, True, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56]","[True, True, True, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93, -1.15]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93, -1.15, 0.95]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93, -1.15, 0.95, 2.09]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93, -1.15, 0.95, 2.09, 0.85]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.32, 2.48, 1.77, -0.87, -0.82, -0.77, 0.48, -1.68, -0.28, 0.75, -0.79, 0.59, -1.56, 0.31, 1.06, 0.76, -0.86, 1.14, 0.49, 0.83, 0.68, -0.37, 0.48, -0.09, 0.8, -0.24, 0.85, 0.23, -0.72, -1.11, 0.63, 1.46, 0.38, -0.16, -0.53, 1.93, -1.15, 0.95, 2.09, 0.85, -0.48]","[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[1.19],True
"[1.19, 0.2]","[True, True]"
"[1.19, 0.2, -1.25]","[True, True, False]"
"[1.19, 0.2, -1.25, -0.24]","[True, True, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21]","[True, True, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29]","[True, True, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87]","[True, True, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48]","[True, True, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77]","[True, True, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23]","[True, True, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11]","[True, True, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81]","[True, True, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28]","[True, True, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07, -1.03]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07, -1.03, 0.46]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07, -1.03, 0.46, 2.36]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07, -1.03, 0.46, 2.36, -0.26]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.19, 0.2, -1.25, -0.24, 1.21, -1.29, 1.87, 0.48, 0.77, 0.23, -1.11, -1.81, -1.28, 0.07, -1.03, 0.46, 2.36, -0.26, 0.12]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
